"arc_length","flux"
0,4.56117e+10
0.32489,5.01921e+10
0.649796,5.48074e+10
0.974701,5.94564e+10
1.29959,6.41373e+10
1.6245,6.88497e+10
1.9494,7.35921e+10
2.27429,7.83633e+10
2.5992,8.31626e+10
2.9241,8.79891e+10
3.24899,9.28414e+10
3.5739,9.77192e+10
3.8988,1.02621e+11
4.22369,1.07547e+11
4.5486,1.12496e+11
4.87349,1.17466e+11
5.19839,1.22459e+11
5.5233,1.27472e+11
5.84819,1.32505e+11
6.1731,1.37558e+11
6.498,1.42629e+11
6.82289,1.47719e+11
7.1478,1.52827e+11
7.4727,1.57952e+11
7.79759,1.63093e+11
8.1225,1.68251e+11
8.4474,1.73425e+11
8.77229,1.79113e+11
9.0972,1.85131e+11
9.4221,1.91267e+11
9.74699,1.97526e+11
10.0719,2.03911e+11
10.3968,2.10425e+11
10.7217,2.17073e+11
11.0466,2.23859e+11
11.3715,2.30786e+11
11.6964,2.3786e+11
12.0213,2.45085e+11
12.3462,2.52466e+11
12.6711,2.60009e+11
12.996,2.67717e+11
13.3209,2.75597e+11
13.6458,2.83655e+11
13.9707,2.91896e+11
14.2956,3.00327e+11
14.6205,3.08955e+11
14.9454,3.17786e+11
15.2703,3.26827e+11
15.5952,3.36086e+11
15.9201,3.45571e+11
16.245,3.55291e+11
16.5699,3.65254e+11
16.8948,3.75468e+11
17.2197,4.0573e+11
17.5446,4.69847e+11
17.8695,5.33753e+11
18.1944,5.97463e+11
18.5193,6.6098e+11
18.8442,7.24307e+11
19.1691,7.87459e+11
19.494,8.50437e+11
19.8189,9.13245e+11
20.1438,9.75894e+11
20.4687,1.03839e+12
20.7936,1.10073e+12
21.1185,1.16292e+12
21.4434,1.22498e+12
21.7683,1.28689e+12
22.0932,1.34868e+12
22.4181,1.41033e+12
22.743,1.47187e+12
23.0679,1.53328e+12
23.3928,1.59457e+12
23.7177,1.65576e+12
24.0426,1.71683e+12
24.3675,1.7778e+12
24.6924,1.83866e+12
25.0173,1.89942e+12
25.3422,1.96009e+12
25.6671,2.02114e+12
25.992,2.09153e+12
26.3169,2.16307e+12
26.6418,2.23579e+12
26.9667,2.30973e+12
27.2916,2.38493e+12
27.6165,2.46142e+12
27.9414,2.53924e+12
28.2663,2.61845e+12
28.5912,2.69907e+12
28.9161,2.78115e+12
29.241,2.86474e+12
29.5659,2.94989e+12
29.8908,3.03665e+12
30.2157,3.12507e+12
30.5406,3.21521e+12
30.8655,3.30712e+12
31.1904,3.40086e+12
31.5153,3.49651e+12
31.8402,3.59411e+12
32.1651,3.69376e+12
32.49,3.7955e+12
32.8149,3.89943e+12
33.1398,4.00562e+12
33.4647,4.11415e+12
33.7896,4.22512e+12
34.1145,4.33861e+12
34.4394,4.59093e+12
34.7643,4.88866e+12
35.0892,5.18237e+12
35.4141,5.47222e+12
35.739,5.75833e+12
36.0639,6.04085e+12
36.3888,6.3199e+12
36.7137,6.59561e+12
37.0386,6.86807e+12
37.3635,7.13741e+12
37.6884,7.40374e+12
38.0133,7.66714e+12
38.3382,7.92771e+12
38.6631,8.18555e+12
38.988,8.44075e+12
39.3129,8.69337e+12
39.6378,8.94352e+12
39.9627,9.19127e+12
40.2876,9.43668e+12
40.6125,9.67983e+12
40.9374,9.92079e+12
41.2623,1.01596e+13
41.5872,1.03964e+13
41.9121,1.06312e+13
42.237,1.0864e+13
42.5619,1.10949e+13
42.8868,1.13431e+13
43.2117,1.16191e+13
43.5366,1.18983e+13
43.8615,1.21806e+13
44.1864,1.24663e+13
44.5113,1.27554e+13
44.8362,1.30479e+13
45.1611,1.33441e+13
45.486,1.36439e+13
45.8109,1.39477e+13
46.1358,1.42553e+13
46.4607,1.45671e+13
46.7856,1.4883e+13
47.1105,1.52034e+13
47.4354,1.55282e+13
47.7603,1.58576e+13
48.0852,1.61919e+13
48.4101,1.65311e+13
48.735,1.68755e+13
49.0599,1.72252e+13
49.3848,1.75804e+13
49.7097,1.79413e+13
50.0346,1.83081e+13
50.3595,1.8681e+13
50.6844,1.90603e+13
51.0093,1.94462e+13
51.3342,1.98689e+13
51.6591,2.0542e+13
51.984,2.1202e+13
52.3089,2.18496e+13
52.6338,2.24851e+13
52.9587,2.3109e+13
53.2836,2.37216e+13
53.6085,2.43234e+13
53.9334,2.49148e+13
54.2583,2.54961e+13
54.5832,2.60676e+13
54.9081,2.66297e+13
55.233,2.71826e+13
55.5579,2.77268e+13
55.8828,2.82623e+13
56.2077,2.87897e+13
56.5326,2.9309e+13
