"arc_length","flux"
0,nan
0.286301,nan
0.572601,nan
0.858917,nan
1.14522,nan
1.43153,nan
1.71783,nan
2.00415,nan
2.29045,nan
2.57677,nan
2.86307,nan
3.14938,nan
3.43568,nan
3.722,nan
4.0083,nan
4.29462,nan
4.58092,nan
4.86723,nan
5.15353,2.16552e+12
5.43985,2.16552e+12
5.72615,2.16552e+12
6.01247,2.16552e+12
6.29877,2.16552e+12
6.58508,2.16552e+12
6.87138,2.16552e+12
7.1577,2.16552e+12
7.444,2.16552e+12
7.7303,2.16552e+12
8.01662,2.16552e+12
8.30292,2.16552e+12
8.58923,2.16552e+12
8.87553,2.16552e+12
9.16185,2.16552e+12
9.44815,2.16552e+12
9.73447,2.16552e+12
10.0208,2.16552e+12
10.3071,2.16552e+12
10.5934,2.16552e+12
10.8797,2.16552e+12
11.166,2.16552e+12
11.4523,2.16552e+12
11.7386,2.16552e+12
12.0249,2.16552e+12
12.3112,2.16552e+12
12.5975,2.16552e+12
12.8839,2.16552e+12
13.1702,2.16552e+12
13.4565,2.16552e+12
13.7428,2.16552e+12
14.0291,2.16552e+12
14.3154,2.16552e+12
14.6017,2.16552e+12
14.888,1.33662e+13
15.1743,1.33662e+13
15.4606,1.33662e+13
15.7469,1.33662e+13
16.0332,1.33662e+13
16.3195,1.33662e+13
16.6059,1.33662e+13
16.8922,1.33662e+13
17.1785,1.33662e+13
17.4648,1.33662e+13
17.7511,1.33662e+13
18.0374,1.33662e+13
18.3237,1.33662e+13
18.61,1.33662e+13
18.8963,1.33662e+13
19.1826,1.33662e+13
19.4689,1.33662e+13
19.7552,1.33662e+13
20.0415,1.33662e+13
20.3279,1.33662e+13
20.6142,1.33662e+13
20.9005,1.33662e+13
21.1868,1.33662e+13
21.4731,1.33662e+13
21.7594,1.33662e+13
22.0457,1.33662e+13
22.332,1.33662e+13
22.6183,1.33662e+13
22.9046,1.33662e+13
23.1909,1.33662e+13
23.4772,1.33662e+13
23.7636,1.33662e+13
24.0499,1.33662e+13
24.3362,1.33662e+13
24.6225,1.33662e+13
24.9088,1.33662e+13
25.1951,1.33662e+13
25.4814,1.33662e+13
25.7677,1.33662e+13
26.054,1.33662e+13
26.3403,1.33662e+13
26.6266,1.33662e+13
26.9129,1.33662e+13
27.1992,1.33662e+13
27.4856,1.33662e+13
27.7719,1.33662e+13
28.0582,1.33662e+13
28.3445,1.33662e+13
28.6308,1.33662e+13
28.9171,1.33662e+13
29.2034,1.33662e+13
29.4897,1.33662e+13
29.776,1.33662e+13
30.0623,1.33662e+13
30.3486,1.33662e+13
30.6349,1.33662e+13
30.9213,1.33662e+13
31.2076,1.33662e+13
31.4939,1.33662e+13
31.7802,1.33662e+13
32.0665,1.33662e+13
32.3528,1.33662e+13
32.6391,1.33662e+13
32.9254,1.33662e+13
33.2117,1.33662e+13
33.498,1.33662e+13
33.7843,1.33662e+13
34.0706,1.33662e+13
34.3569,1.33662e+13
34.6433,3.8936e+13
34.9296,3.8936e+13
35.2159,3.8936e+13
