#"arc_length" "flux" "flux"
49.3848 1.58435e+13 1.75804e+13
49.7097 1.61567e+13 1.79413e+13
50.0346 1.64746e+13 1.83081e+13
50.3595 1.67972e+13 1.8681e+13
50.6844 1.71248e+13 1.90603e+13
51.0093 1.74576e+13 1.94462e+13
51.3342 1.78194e+13 1.98689e+13
51.6591 1.83777e+13 2.0542e+13
51.984 1.89219e+13 2.1202e+13
52.3089 1.94525e+13 2.18496e+13
52.6338 1.997e+13 2.24851e+13
52.9587 2.04748e+13 2.3109e+13
53.2836 2.09675e+13 2.37216e+13
53.6085 2.14483e+13 2.43234e+13
53.9334 2.19178e+13 2.49148e+13
54.2583 2.23763e+13 2.54961e+13
54.5832 2.28241e+13 2.60676e+13
54.9081 2.32618e+13 2.66297e+13
55.233 2.36894e+13 2.71826e+13
55.5579 2.41075e+13 2.77268e+13
55.8828 2.45163e+13 2.82623e+13
56.2077 2.49161e+13 2.87897e+13
56.5326 2.53072e+13 2.9309e+13
56.8575 2.56899e+13 2.98205e+13
57.1824 2.60644e+13 3.03246e+13
57.5073 2.64309e+13 3.08213e+13
57.8322 2.67898e+13 3.1311e+13
58.1571 2.71412e+13 3.17938e+13
58.482 2.74854e+13 3.227e+13
58.8069 2.78226e+13 3.27397e+13
59.1318 2.81529e+13 3.32032e+13
59.4567 2.84766e+13 3.36605e+13
59.7816 2.87939e+13 3.4112e+13
60.1065 2.91992e+13 3.46364e+13
60.4314 2.9631e+13 3.51852e+13
60.7563 3.0065e+13 3.57384e+13
61.0812 3.05014e+13 3.62963e+13
61.4061 3.09402e+13 3.6859e+13
61.731 3.13815e+13 3.74266e+13
62.0559 3.18254e+13 3.79992e+13
62.3808 3.22719e+13 3.85771e+13
62.7057 3.27211e+13 3.91603e+13
63.0306 3.31731e+13 3.97491e+13
63.3555 3.3628e+13 4.03437e+13
63.6804 3.40858e+13 4.09441e+13
64.0053 3.45468e+13 4.15506e+13
64.3302 3.5011e+13 4.21635e+13
64.6551 3.54784e+13 4.27829e+13
64.98 3.59492e+13 4.3409e+13
65.3049 3.64236e+13 4.4042e+13
65.6298 3.69016e+13 4.46823e+13
65.9547 3.73833e+13 4.533e+13
66.2796 3.7869e+13 4.59854e+13
