1	0.0034642	1	0.0026891            1	0.0033377
2	0.0010587	2	0.00082182           2	0.00102
3	0.0142	    3	0.0108               3	0.0114
4	0.219	    4	0.17                 4	0.211
50	6E-09	    57	0                    49	0
51	9E-09	    58	1E-09                50	8.6E-08
52	1.6E-08	    59	2E-09                51	1.25E-07
53	2.8E-08		60	4E-09                52	1.8E-07
54	4.8E-08	    61	9E-09                53	2.61E-07
55	8.3E-08	    62	2E-08                54	3.77E-07
56	1.42E-07	63	4.8E-08              55	5.46E-07
57	2.43E-07	64	1.1E-07              56	7.89E-07
58	4.18E-07	65	2.55E-07             57	1.142E-06
59	7.18E-07	66	5.92E-07             58	1.651E-06
60	1.233E-06	67	1.373E-06            59	2.388E-06
61	2.117E-06	68	3.183E-06            60	3.455E-06
62	3.636E-06	69	7.388E-06            61	4.997E-06
63	6.244E-06	70	1.7179E-05           62	7.231E-06
64	1.0723E-05	71	4.0101E-05           63	1.0463E-05
65	1.8417E-05	72	9.4485E-05           64	1.5147E-05
66	3.1634E-05	73	0.000227157          65	2.1936E-05
67	5.434E-05	74	0.000388144          66	3.1786E-05
68	9.3358E-05	75	0.003066096          67	4.61E-05
69	0.000280365	76	0.003558906          68	6.6929E-05
70	0.000140171	77	0.00801817           69	9.0518E-05
71	0.000702968	78	0.023486893          70	0.000281368
72	0.000560865	79	0.055628339          71	9.0477E-05
73	0.001403921	80	0.09804538           72	0.000280291
74	0.002267357	81	0.159543062          73	0.000452297
75	0.002395207	82	0.27936562           74	0.002989284
76	0.00814983	83	0.581176222          75	0.007961056
77	0.014528426	84	1.045980818          76	0.01423645
78	0.025024978	85	1.339238744          77	0.041284769
79	0.040065114	86	1.97813293           78	0.064909517
80	0.075938803	87	2.591110978          79	0.129762407
81	0.101989735	88	3.6533318            80	0.20313792
82	0.167632447	89	4.55701471           81	0.288262989
83	0.315876037	90	5.290629252          82	0.509879399
84	0.497280556	91	5.45486614           83	0.992005764
85	0.610002838	92	5.86145725           84	1.632682792
86	0.787450842	93	5.9436664            85	2.11656865
87	1.006780776	94	6.33299675           86	2.774876516
88	1.39546476	95	6.511811538          87	4.082263782
89	1.730191304	96	6.3234543            88	5.1414292
90	2.100369169	97	5.99550566           89	6.285975239
91	2.574051256	98	6.144776163          90	6.50624426
92	3.05392061	99	5.92533565           91	6.314958941
93	3.8693693	100	6.437854965          92	6.512954538
94	4.367066029	101	5.2414832            93	7.0136489
95	4.71366385	102	4.44966555           94	6.830903123
96	4.962288285	103	3.280968558          95	6.35856469
97	4.941989312	104	2.13513282           96	5.789688399
98	5.7504895	105	1.284790425          97	5.499025948
99	5.858192328	106	0.467451558          98	5.2379305
100	6.681971357	107	0.192816025          99	4.908075089
101	6.883357793	108	0.089167043          100	4.45920092
102	6.850339114	109	0.042801224          101	3.42129249
103	6.5704436	110	0.034358499          102	2.522875877
104	6.42826262	111	0.033585884          103	1.56934963
105	5.269052727	112	0.026662937          104	1.200716198
106	4.048843449	113	0.034401399          105	0.641426292
107	3.085358208	114	0.024281749          106	0.292090383
108	2.1185157	115	0.026765574          107	0.140718868
109	1.460801732	116	0.03580342           108	0.071926726
110	0.633397525	117	0.038341432          109	0.053546677
111	0.405888329	118	0.039699669          110	0.061726606
112	0.142500944	119	0.033957345          111	0.05474805
113	0.129289966	120	0.035237808          112	0.068091699
114	0.096358058	121	0.030130415          113	0.061824837
115	0.076782819	122	0.027598513          114	0.059919825
116	0.062445065	123	0.02784202           115	0.058720837
117	0.040473182	124	0.039419289          116	0.061963481
118	0.040200229	125	0.06890398           117	0.060207382
119	0.050661255	126	0.100738938          118	0.060078373
120	0.043350408	127	0.305912033          119	0.073605102
121	0.037648575	128	0.51553603           120	0.08238405
122	0.042034153	129	1.164319796          121	0.061386885
123	0.044957317	130	2.15836837           122	0.082641883
124	0.074506853	131	3.396517715          123	0.083411868
125	0.140629062	132	4.74374778           124	0.119504256
126	0.22078726	133	6.651991419          125	0.149903173
127	0.566048884	134	7.659517633          126	0.330601988
128	0.96634091	135	6.334915239          127	0.543355739
129	1.314268301	136	6.0418924            128	1.366841418
130	3.117062245	137	5.995237959          129	1.7801448
131	4.092696266	138	6.457696958          130	2.406391758
132	5.255494735	139	6.336044534          131	3.874144456
133	7.061505459	140	6.0668527            132	4.725576922
134	7.51536132	141	5.91773198           133	5.710172122
135	7.524545466	142	5.718415768          134	6.2768642
136	7.05208135	143	5.56589447           135	6.261009304
137	6.420315264	144	5.14658263           136	6.800376012
138	5.754620203	145	3.77534162           137	6.551794348
139	5.4389985	146	2.89046786           138	6.556524842
140	5.308923719	147	2.184796468          139	6.40887116
141	4.96555103	148	1.693692452          140	6.2071905
142	4.955433137	149	1.078487765          141	6.491722178
143	4.264074192	150	0.686085066          142	6.405686926
144	3.499063804	151	0.438168996          143	5.370404157
145	3.021995073	152	0.312265403          144	4.511093824
146	2.510976895	153	0.153605719          145	3.255900624
147	1.934533361	154	0.113879385          146	2.436946692
148	1.696894099	155	0.027862201          147	1.753200217
149	1.2861708	156	0.018178594          148	1.221632092
150	1.010745432	157	0.001919062          149	0.72783988
151	0.805875255	158	0.001958888          150	0.472728321
152	0.633273623	159	0.003156766          151	0.315418272
153	0.531381234	160	0.000552718          152	0.195490148
154	0.290579673	161	0.000307737          153	0.110901469
155	0.200132281	162	0.000137416          154	0.046323512
156	0.128648292	163	6.1328E-05           155	0.016624097
157	0.105268911	164	2.6933E-05           156	0.015892203
158	0.059918163	165	1.1749E-05           157	0.011033721
159	0.02945989	166	5.11E-06             158	0.002673058
160	0.012578528	167	2.22E-06             159	0.001883992
161	0.006967001	168	9.64E-07             160	0.000173815
162	0.003199397	169	4.18E-07             161	0.000495754
163	0.001989369	170	1.81E-07             162	0.000721983
164	0.000954769	171	7.9E-08              163	0.000193218
165	0.000521548	172	3.4E-08              164	4.3274E-05
166	0.000260996	173	1.5E-08              165	1.9336E-05
167	0.000521309	174	6E-09                166	8.615E-06
168	8.7028E-05	175	3E-09                167	3.834E-06
169	7.3864E-05	176	1E-09                168	1.705E-06
170	4.2533E-05		                     169	7.58E-07
171	2.4488E-05		                     170	3.37E-07
172	1.4098E-05		                     171	1.5E-07
173	8.116E-06		                     172	6.7E-08
174	4.671E-06		                     173	3E-08
175	2.689E-06		                     174	1.3E-08
176	1.548E-06		                     175	6E-09
177	8.91E-07		                     176	3E-09
178	5.12E-07		                     177	1E-09
179	2.95E-07		                     178	0
180	1.69E-07		
181	9.8E-08		
182	5.5E-08		
183	3.2E-08		
184	1.9E-08		
185	1.1E-08		
186	6E-09		
187	4E-09		
188	2E-09		
189	1E-09		
190	1E-09		
191	0		
192	0		
