#"arc_length" "power_dis" "power_dis"
72.4527 49731 55628.5
72.7776 49934.7 55730.5
73.1025 50112.3 55807
73.4274 50264.5 55858.8
73.7523 50392.2 55886.7
74.0772 50496.1 55891.4
74.4021 50577 55873.6
74.727 50635.6 55834.1
75.0519 50672.5 55773.4
75.3768 50688.4 55692.3
75.7017 50684 55591.2
76.0266 50659.7 55470.9
76.3515 50616.3 55331.8
76.6764 50554.1 55174.6
77.0013 50610.9 55143.8
77.3262 51395.3 55879
77.6511 52187.5 56622.3
77.976 52987.6 57373.9
78.3009 53795.9 58134.1
78.6258 54612.6 58903
78.9507 55438 59681.1
79.2756 56272.3 60468.4
79.6005 57115.9 61265.4
79.9254 57969 62072.3
80.2503 58831.9 62889.5
80.5752 59704.9 63717.2
80.9001 60588.4 64555.9
81.225 61482.6 65405.8
81.5499 62388 66267.3
81.8748 63305 67140.9
82.1997 64233.8 68026.9
82.5246 65175 68925.7
82.8495 66128.8 69837.9
83.1744 67095.9 70763.8
83.4993 68076.6 71704
83.8242 69071.4 72658.9
84.1491 70080.9 73629
84.474 71105.6 74615.1
84.7989 72146 75617.6
85.1238 73202.7 76637.1
85.4487 74276.4 77674.3
85.7736 75636.9 78975.7
86.0985 76989 80269.1
86.4234 78277.8 81504.1
86.7483 79505.5 82682.8
87.0732 80674.5 83807.3
87.3981 81786.7 84879.6
87.723 82844.1 85901.3
88.0479 83848.7 86874.3
88.3728 84802.3 87800.3
88.6977 85706.5 88680.8
89.0226 86563 89517.3
89.3475 87373.4 90311.3
89.6724 88139.2 91064.2
89.9973 88861.8 91777.3
90.3222 89542.7 92451.9
90.6471 90183.1 93089.2
90.972 90784.4 93690.4
91.2969 91347.6 94256.5
91.6218 91874 94788.8
91.9467 92364.8 95288.1
92.2716 92820.9 95755.5
92.5965 93243.5 96192
92.9214 93633.4 96598.4
93.2463 93991.7 96975.6
93.5712 94319.3 97324.5
93.8961 94617 97645.9
94.221 94897.7 97894.3
94.5459 95173.7 98086.8
94.8708 95438.1 98268.4
95.1957 95690.6 98438.9
95.5206 95930.7 98598
95.8455 96158.1 98745.3
96.1704 96372.4 98880.3
96.4953 96573.2 99002.8
96.8202 96760.1 99112.4
97.1451 96932.6 99208.7
97.47 97090.4 99291.2
97.7949 97232.9 99359.5
98.1198 97359.6 99413.1
98.4447 97470 99451.5
98.7696 97563.7 99474.4
99.0945 97639.9 99481
99.4194 97698.1 99471
99.7443 97737.8 99443.7
100.069 97758.2 99398.5
100.394 97758.8 99334.7
100.719 97738.7 99251.9
101.044 97697.3 99149.1
101.369 97633.8 99025.8
101.694 97547.3 98881.2
102.019 97437.1 98714.4
102.343 97302.1 98524.7
102.668 97030.8 98219.8
102.993 96329.3 97559.8
103.318 95620.5 96895.7
103.643 94904.9 96227.6
103.968 94182.5 95555.6
104.293 93453.7 94879.9
104.618 92718.7 94200.6
104.943 91977.7 93517.8
105.268 91230.9 92831.7
105.592 90478.5 92142.3
105.917 89720.7 91449.8
106.242 88957.6 90754.3
106.567 88189.5 90055.9
106.892 87416.6 89354.7
107.217 86638.8 88650.7
107.542 85856.5 87944.1
107.867 85069.8 87234.9
108.192 84278.8 86523.2
108.517 83483.6 85809.1
108.841 82684.3 85092.7
109.166 81881.1 84374
109.491 81074.2 83653.1
109.816 80263.5 82930.1
110.141 79449.3 82205
110.466 78631.6 81478
110.791 77810.5 80748.9
111.116 76986.2 80018
111.441 76220.7 79321.8
111.766 75450 78617.4
112.09 74665.9 77899.5
112.415 73867.9 77167.9
112.74 73055.7 76422
113.065 72228.8 75661.3
113.39 71386.7 74885.6
113.715 70529.1 74094.3
114.04 69655.4 73286.9
114.365 68765 72462.9
114.69 67857.6 71621.8
115.015 66932.5 70763
115.339 65989.1 69886
115.664 65026.9 68990.1
115.989 64045.2 68074.8
116.314 63043.4 67139.4
116.639 62020.8 66183.2
116.964 60976.7 65205.4
117.289 59910.3 64205.4
117.614 58820.9 63182.4
117.939 57707.6 62135.5
118.264 56569.5 61063.9
118.589 55405.8 59966.7
118.913 54215.6 58842.9
119.238 52997.8 57691.5
119.563 51751.4 56511.6
119.888 50758.4 55571.7
120.213 49968.2 54825.3
120.538 49181.8 54083.3
120.863 48399.1 53345.6
121.188 47619.9 52611.9
121.513 46844.3 51882.2
121.837 46071.9 51156.3
122.162 45302.8 50434
122.487 44536.8 49715.4
122.812 43773.8 49000.1
123.137 43013.7 48288.2
123.462 42256.4 47579.4
123.787 41501.8 46873.8
124.112 40749.8 46171.2
124.437 40000.4 45471.5
124.762 39253.4 44774.6
125.087 38508.8 44080.4
125.411 37766.5 43388.8
125.736 37026.4 42699.8
126.061 36288.6 42013.3
126.386 35552.8 41329.2
126.711 34819 40647.4
127.036 34087.3 39967.9
127.361 33357.4 39290.6
127.686 32629.5 38615.4
128.011 31903.3 37942.3
128.335 31279.2 37390.9
128.66 30937.4 37177.9
128.985 30597.1 36969.2
129.31 30258.4 36764.9
129.635 29921.1 36565.1
129.96 29585.5 36370
130.285 29251.6 36179.7
130.61 28919.4 35994.4
130.935 28588.9 35814.2
131.26 28260.2 35639.2
131.585 27933.4 35469.7
131.909 27608.6 35305.8
132.234 27285.7 35147.7
132.559 26964.9 34995.6
132.884 26646.3 34849.6
133.209 26329.8 34710.1
133.534 26015.6 34577.1
133.859 25703.8 34451
134.184 25394.4 34331.9
134.509 25087.5 34220.1
134.833 24783.2 34115.9
135.158 24481.6 34019.6
135.483 24182.8 33931.3
135.808 23887 33851.5
136.133 23594.1 33780.4
136.458 23304.3 33718.4
136.783 23017.8 33665.7
137.108 23268.3 34121.8
137.433 23525.3 34573.8
137.758 23759.3 34993.8
138.082 23971.1 35383.2
138.407 24161.6 35742.9
138.732 24331.4 36074
139.057 24481.4 36377.6
139.382 24612.1 36654.5
139.707 24724.3 36905.7
140.032 24818.6 37132.1
140.357 24895.5 37334.5
140.682 24955.7 37513.6
141.007 24999.7 37670.2
141.331 25028 37805.1
141.656 25041.1 37919
141.981 25039.4 38012.5
142.306 25023.6 38086.2
142.631 24993.9 38140.8
142.956 24950.9 38176.9
143.281 24894.9 38194.9
143.606 24826.3 38195.5
143.931 24745.5 38179.2
144.256 24652.8 38146.5
144.581 24548.6 38097.8
144.905 24433.3 38033.7
145.23 24307.1 37954.4
145.555 24215.7 37904.5
145.88 24145.2 37872.1
146.205 24070.1 37833.1
146.53 23990.1 37787.2
146.855 23905.2 37734.2
147.18 23815.3 37673.9
147.505 23720.1 37606
147.829 23619.4 37530.4
148.154 23513.3 37446.8
148.479 23401.3 37354.9
148.804 23283.5 37254.5
149.129 23159.5 37145.4
149.454 23029.3 37027.1
149.779 22892.5 36899.5
150.104 22748.9 36762.2
150.429 22598.4 36614.9
150.754 22440.8 36457.3
151.078 22275.6 36288.9
151.403 22102.8 36109.5
151.728 21922 35918.7
152.053 21732.9 35716
152.378 21535.3 35501
152.703 21328.9 35273.3
153.028 21113.2 35032.3
153.353 20888 34777.7
153.678 20653 34508.9
154.003 20444.9 34229.1
154.327 20313.8 33952.3
154.652 20182.7 33675.6
154.977 20051.7 33398.8
155.302 19920.6 33122.1
155.627 19789.6 32845.3
155.952 19658.5 32568.6
156.277 19527.5 32291.8
156.602 19396.4 32015.1
156.927 19265.4 31738.3
157.252 19134.3 31461.6
157.576 19003.3 31184.8
157.901 18872.2 30908.1
158.226 18741.1 30631.3
158.551 18610.1 30354.6
158.876 18479 30077.8
159.201 18348 29801.1
159.526 18216.9 29524.3
159.851 18085.9 29247.6
160.176 17954.8 28970.8
160.501 17823.8 28694.1
160.826 17692.7 28417.3
161.15 17561.6 28140.6
161.475 17430.6 27863.8
161.8 17299.5 27587.1
162.125 17168.5 27310.4
162.45 17037.4 27033.6
162.775 17168.3 27310
163.1 17299.2 27586.3
163.425 17430.1 27862.7
163.75 17561 28139.1
164.074 17691.9 28415.5
164.399 17822.8 28691.8
164.724 17953.6 28968.2
165.049 18084.5 29244.6
165.374 18215.4 29521
165.699 18346.3 29797.3
166.024 18477.2 30073.7
166.349 18608.1 30350.1
166.674 18739 30626.5
166.999 18869.9 30902.8
167.324 19000.7 31179.2
167.648 19131.6 31455.6
167.973 19262.5 31732
168.298 19393.4 32008.3
168.623 19524.3 32284.7
168.948 19655.2 32561.1
169.273 19786.1 32837.5
169.598 19917 33113.8
169.923 20047.8 33390.2
170.248 20178.7 33666.6
170.572 20309.6 33943
170.897 20440.5 34219.3
171.222 20648.5 34498.8
171.547 20883.4 34767.4
171.872 21108.5 35021.7
172.197 21324 35262.4
172.522 21530.4 35489.9
172.847 21727.9 35704.7
173.172 21916.9 35907.2
173.497 22097.6 36097.8
173.822 22270.3 36277
174.146 22435.4 36445.1
174.471 22593 36602.5
174.796 22743.4 36749.6
175.121 22886.8 36886.7
175.446 23023.5 37014.2
175.771 23153.7 37132.2
176.096 23277.6 37241.2
176.421 23395.4 37341.4
176.746 23507.3 37433.1
177.07 23613.4 37516.6
177.395 23713.9 37592
177.72 23809.1 37659.7
178.045 23899 37719.9
178.37 23983.8 37772.8
178.695 24063.7 37818.5
179.02 24138.8 37857.4
179.345 24209.2 37889.6
179.67 24300.5 37939.5
179.995 24426.6 38018.6
180.319 24541.9 38082.6
180.644 24646 38131.2
180.969 24738.6 38163.8
181.294 24819.3 38180
181.619 24887.9 38179.3
181.944 24943.8 38161.2
182.269 24986.8 38125
182.594 25016.4 38070.4
182.919 25032.2 37996.6
183.244 25033.8 37903.1
183.568 25020.7 37789.1
183.893 24992.4 37654.2
184.218 24948.4 37497.5
184.543 24888.2 37318.4
184.868 24811.2 37116
185.193 24716.9 36889.7
185.518 24604.8 36638.5
185.843 24474 36361.6
186.168 24324.1 36058
186.493 24154.2 35727
186.818 23963.8 35367.3
187.142 23752 34978
187.467 23518 34558.1
187.792 23261 34106.2
188.117 23010.6 33650.2
188.442 23296.8 33702.5
188.767 23586.4 33764.3
189.092 23879 33835
189.417 24174.6 33914.5
189.742 24473.2 34002.5
190.066 24774.5 34098.5
190.391 25078.5 34202.4
190.716 25385.2 34313.8
191.041 25694.3 34432.5
191.366 26005.9 34558.3
191.691 26319.9 34691
192.016 26636.1 34830.2
192.341 26954.5 34975.8
192.666 27275.1 35127.6
192.991 27597.7 35285.3
193.315 27922.3 35448.9
193.64 28248.8 35618.1
193.965 28577.2 35792.7
194.29 28907.5 35972.5
194.615 29239.5 36157.5
194.94 29573.2 36347.5
195.265 29908.5 36542.2
195.59 30245.5 36741.6
195.915 30584 36945.6
196.24 30924 37153.9
196.564 31265.6 37366.6
196.889 31889.3 37917.4
197.214 32615 38589.9
197.539 33342.6 39264.4
197.864 34072 39941
198.189 34803.3 40619.9
198.514 35536.6 41301
198.839 36272 41984.4
199.164 37009.4 42670.3
199.489 37749.1 43358.6
199.813 38490.9 44049.4
200.138 39235.1 44742.9
200.463 39981.6 45439.1
200.788 40730.6 46138.1
201.113 41482.1 46840.1
201.438 42236.2 47545
201.763 42993.1 48253
202.088 43752.7 48964.2
202.413 44515.3 49678.7
202.738 45280.8 50396.6
203.062 46049.5 51118.1
203.387 46821.3 51843.3
203.712 47596.5 52572.2
204.037 48375.1 53305.1
204.362 49157.4 54042.1
204.687 49943.3 54783.3
205.012 50733 55528.9
205.337 51725.4 56467.9
205.662 52971.1 57646.8
205.987 54188.3 58797.1
206.311 55377.8 59920
206.636 56540.9 61016.2
206.961 57678.3 62086.9
207.286 58790.9 63132.9
207.611 59879.8 64155
207.936 60945.6 65154.1
208.261 61989.1 66131
208.586 63011.1 67086.3
208.911 64012.4 68020.9
209.236 64993.5 68935.4
209.561 65955.2 69830.4
209.885 66898 70706.6
210.21 67822.6 71564.6
210.535 68729.5 72405
210.86 69619.3 73228.2
211.185 70492.6 74034.9
211.51 71349.7 74825.5
211.835 72191.3 75600.5
212.16 73017.8 76360.4
212.485 73829.5 77105.7
212.809 74627 77836.7
213.134 75410.7 78553.8
213.459 76180.9 79257.6
213.784 76945.9 79953.1
214.109 77769.8 80683.4
214.434 78590.4 81411.8
214.759 79407.7 82138.2
215.084 80221.5 82862.6
215.409 81031.6 83585
215.734 81838.1 84305.2
216.059 82640.9 85023.2
216.383 83439.6 85739
216.708 84234.4 86452.4
217.033 85025 87163.4
217.358 85811.2 87872
217.683 86593.1 88577.9
218.008 87370.4 89281.3
218.333 88142.9 89981.8
218.658 88910.5 90679.6
218.983 89673.1 91374.4
219.307 90430.5 92066.2
219.632 91182.4 92754.9
219.957 91928.8 93440.4
220.282 92669.4 94122.5
220.607 93403.9 94801.1
220.932 94132.3 95476.1
221.257 94854.2 96147.5
221.582 95569.4 96814.9
221.907 96277.7 97478.4
222.232 96978.8 98137.7
222.556 97250 98442.3
222.881 97384.8 98631.7
223.206 97494.9 98798.2
223.531 97581.3 98942.6
223.856 97644.7 99065.7
