"arc_length","T"
0,673.152
0.35,673.153
0.7,673.153
1.05,673.154
1.4,673.155
1.75,673.156
2.1,673.157
2.45,673.158
2.8,673.158
3.15,673.159
3.5,673.16
3.85,673.161
4.2,673.162
4.55,673.163
4.9,673.163
5.25,673.164
5.6,673.165
5.95,673.166
6.3,673.167
6.65,673.167
7,673.168
7.35,673.169
7.7,673.17
8.05,673.17
8.4,673.171
8.75,673.172
9.1,673.172
9.45,673.173
9.8,673.174
10.15,673.174
10.5,673.175
10.85,673.176
11.2,673.176
11.55,673.177
11.9,673.177
12.25,673.178
12.6,673.179
12.95,673.179
13.3,673.18
13.65,673.181
14,673.181
14.35,673.182
14.7,673.183
15.05,673.183
15.4,673.184
15.75,673.184
16.1,673.185
16.45,673.185
16.8,673.186
17.15,673.186
17.5,673.187
17.85,673.187
18.2,673.188
18.55,673.189
18.9,673.189
19.25,673.19
19.6,673.19
19.95,673.191
20.3,673.191
20.65,673.192
21,673.192
21.35,673.193
21.7,673.193
22.05,673.194
22.4,673.194
22.75,673.195
23.1,673.195
23.45,673.196
23.8,673.196
24.15,673.197
24.5,673.198
24.85,673.198
25.2,673.199
25.55,673.199
25.9,673.2
26.25,673.2
26.6,673.201
26.95,673.201
27.3,673.202
27.65,673.202
28,673.203
28.35,673.203
28.7,673.204
29.05,673.204
29.4,673.205
29.75,673.206
30.1,673.206
30.45,673.207
30.8,673.207
31.15,673.208
31.5,673.208
31.85,673.209
32.2,673.209
32.55,673.21
32.9,673.21
33.25,673.211
33.6,673.211
33.95,673.212
34.3,673.212
34.65,673.213
35,673.213
35.35,673.214
35.7,673.215
36.05,673.215
36.4,673.216
36.75,673.216
37.1,673.217
37.45,673.217
37.8,673.218
38.15,673.218
38.5,673.219
38.85,673.219
39.2,673.22
39.55,673.22
39.9,673.221
40.25,673.221
40.6,673.222
40.95,673.222
41.3,673.223
41.65,673.224
42,673.224
42.35,673.225
42.7,673.225
43.05,673.226
43.4,673.226
43.75,673.227
44.1,673.227
44.45,673.228
44.8,673.228
45.15,673.229
45.5,673.229
45.85,673.23
46.2,673.23
46.55,673.231
46.9,673.231
47.25,673.232
47.6,673.233
47.95,673.233
48.3,673.234
48.65,673.234
49,673.235
49.35,673.235
49.7,673.236
50.05,673.236
50.4,673.237
50.75,673.237
51.1,673.238
51.45,673.238
51.8,673.239
52.15,673.239
52.5,673.24
52.85,673.24
53.2,673.241
53.55,673.241
53.9,673.242
54.25,673.242
54.6,673.243
54.95,673.243
55.3,673.244
55.65,673.244
56,673.245
56.35,673.245
56.7,673.245
57.05,673.246
57.4,673.246
57.75,673.247
58.1,673.247
58.45,673.248
58.8,673.248
59.15,673.249
59.5,673.249
59.85,673.249
60.2,673.25
60.55,673.25
60.9,673.251
61.25,673.251
61.6,673.252
61.95,673.252
62.3,673.253
62.65,673.253
63,673.254
63.35,673.254
63.7,673.254
64.05,673.255
64.4,673.255
64.75,673.256
65.1,673.256
65.45,673.257
65.8,673.257
66.15,673.258
66.5,673.258
66.85,673.259
67.2,673.259
67.55,673.259
67.9,673.26
68.25,673.26
68.6,673.261
68.95,673.261
69.3,673.262
69.65,673.262
70,673.263
70.35,673.263
70.7,673.264
71.05,673.264
71.4,673.264
71.75,673.265
72.1,673.265
72.45,673.266
72.8,673.266
73.15,673.267
73.5,673.267
73.85,673.268
74.2,673.268
74.55,673.268
74.9,673.269
75.25,673.269
75.6,673.27
75.95,673.27
76.3,673.271
76.65,673.271
77,673.272
77.35,673.272
77.7,673.273
78.05,673.273
78.4,673.273
78.75,673.274
79.1,673.274
79.45,673.275
79.8,673.275
80.15,673.276
80.5,673.276
80.85,673.277
81.2,673.277
81.55,673.278
81.9,673.278
82.25,673.278
82.6,673.279
82.95,673.279
83.3,673.28
83.65,673.28
84,673.281
84.35,673.281
84.7,673.282
85.05,673.282
85.4,673.283
85.75,673.283
86.1,673.283
86.45,673.284
86.8,673.284
87.15,673.285
87.5,673.285
87.85,673.286
88.2,673.286
88.55,673.287
88.9,673.287
89.25,673.287
89.6,673.288
89.95,673.288
90.3,673.291
90.65,673.293
91,673.296
91.35,673.298
91.7,673.3
92.05,673.303
92.4,673.305
92.75,673.308
93.1,673.31
93.45,673.313
93.8,673.315
94.15,673.318
94.5,673.32
94.85,673.323
95.2,673.325
95.55,673.328
95.9,673.33
96.25,673.333
96.6,673.335
96.95,673.337
97.3,673.34
97.65,673.342
98,673.345
98.35,673.347
98.7,673.35
99.05,673.352
99.4,673.355
99.75,673.357
100.1,673.36
100.45,673.362
100.8,673.365
101.15,673.367
101.5,673.37
101.85,673.372
102.2,673.375
102.55,673.377
102.9,673.379
103.25,673.382
103.6,673.384
103.95,673.387
104.3,673.389
104.65,673.392
105,673.394
105.35,673.397
105.7,673.399
106.05,673.402
106.4,673.404
106.75,673.407
107.1,673.409
107.45,673.412
107.8,673.414
108.15,673.417
108.5,673.419
108.85,673.421
109.2,673.424
109.55,673.426
109.9,673.429
110.25,673.431
110.6,673.434
110.95,673.436
111.3,673.439
111.65,673.441
112,673.444
112.35,673.446
112.7,673.449
113.05,673.451
113.4,673.454
