#energiapu	#SU fissione			#energiau235	#SU fissione
0.0175	890.0491			0.02	662.6525
0.01875	861.4746			0.021325	640.5068
0.02	835.6978			0.02265	620.2773
0.021019	816.677723			0.023975	601.6937
0.021325	810.9661			0.0253	584.5364
0.02265	788.5165			0.026844	566.1053
0.023975	768.037			0.028387	549.1313
0.0253	749.2781			0.029931	533.4291
0.026844	729.3175			0.031475	518.8501
0.028387	711.1221			0.033019	505.2691
0.031475	679.0441			0.034563	492.5715
0.034563	651.6055			0.03765	469.4233
0.03765	627.9303			0.040738	448.7808
0.040738	607.3348			0.043825	430.2388
0.041038	605.578235			0.046913	413.4742
0.043825	589.2869			0.05	398.2218
0.046913	573.3789			0.053125	384.106
0.05	559.2942			0.05625	371.1422
0.053125	546.6391			0.059375	359.1859
0.05625	535.3934			0.0625	348.1211
0.059375	525.4107			0.065625	337.8595
0.061057	520.649469			0.06875	328.3199
0.0625	516.5653			0.075	311.0287
0.06875	501.6782			0.08125	295.739
0.075	489.9703			0.0875	282.1653
0.081076	481.312587			0.09375	270.0454
0.08125	481.0648			0.1	259.1635
0.0875	474.6343			0.107438	247.6205
0.09375	470.4469			0.114876	237.4143
0.1	468.3492			0.122314	228.3663
0.101095	468.331768			0.129752	220.3475
0.10625	468.2497			0.137191	213.2604
0.1125	470.1083			0.144629	207.0432
0.11875	473.9298			0.152067	201.649
0.121114	476.135166			0.159505	196.9702
0.125	479.7604			0.164464	194.2471
0.13125	487.6871			0.173348	190.2047
0.1375	497.8377			0.182232	187.2066
0.141133	505.130846			0.191116	185.2459
0.14375	510.3844			0.2	184.3423
0.15	525.548			0.205986	184.3236
0.15625	543.604			0.211972	184.7647
0.161152	560.296369			0.217958	185.652
0.1625	564.8866			0.223944	186.9586
0.16875	589.777			0.235241	190.376
0.175	618.7381			0.246538	194.5242
0.178125	634.9473			0.252186	196.6037
0.181171	651.997979			0.257835	198.5021
0.18125	652.4402			0.263483	200.0623
0.184375	671.3174			0.269132	201.1332
0.1875	691.6826			0.274414	201.5764
0.190625	713.6488			0.279696	201.3941
