#temp   #boc                  #eoc                  #bunups      #tf550                  #tf1000
400     -3441.29652956711      -3381.39828690388     0            -3548.24662991615      -3515.13672511722
600     -3423.27036734329      -3363.66823919419     182.5        -3518.07504776346      -3485.37431361765
800     -3408.2032012874       -3348.88531899874     365          -3487.22033795189      -3455.06004479472
1000    -3395.5219499595       -3336.34705419956     730          -3427.19403112941      -3395.5219499595
                                                     1095         -3367.56513532777      -3336.34705419956
