#burnup #side0-ex   #side1-ex   #side0-in   #side1-in   #temp     #boc              #eoc                  #1000°
0       1.117648	1.114031	1.079350	1.074330    400       1.0651	1.0296  1.04088	    1.00683   1.11135   1.07361
182.5   1.103159	1.099669	1.065668	1.060759    550       1.0624	1.0272  1.038352    1.004524  1.09704   1.06009
365     1.088669	1.085310	1.051984	1.047186    600       1.0617	1.0265  1.03767	    1.00390   1.08271   1.04655
730     1.062400	1.059294	1.027196	1.022609    800       1.0590	1.0241  1.03513	    1.00159   1.05676   1.02205
1095    1.038352	1.035490	1.004524	1.000130    1000      1.0568	1.0221  1.03300	    0.99965   1.03300   0.99965

